V0_LATITUDE,V0_LONGITUDE,V1_LATITUDE,V1_LONGITUDE,V2_LATITUDE,V2_LONGITUDE,V3_LATITUDE,V3_LONGITUDE,MG_WT,AL_WT,SI_WT,FE_WT,NA_WT,O_WT,TI_WT,CA_WT,chi2
-86.6536,-114.885,-88.1885,48.1822,-88.8702,69.1037,-87.1984,-102.222,5.8e-05,5.0065774,16.97248912,3.47992883,4.99999618,45.0,4.54095586,19.9999946,2.518458
83.3561,12.1017,77.7199,8.3927,77.6419,11.8801,83.2161,18.2818,6.67642742,19.46705722,20.70177971,1.00000485,2.1547281,45.0,1.31e-06,5.0000014,1.785564
89.3732,127.066,84.836,116.158,84.7728,123.743,89.8484,-127.032,2.43412504,7.72514018,16.26144201,1.65175681,4.99999936,45.0,1.92755768,19.99997891,2.81209
88.4379,-103.922,86.2284,142.902,86.0608,152.37,88.9245,-84.5379,3.4209801,16.52649513,26.08338803,1.0000339,2.9691016,45.0,1.24e-06,5.0,1.398104
45.15,-160.992,39.5137,-161.302,39.1877,-160.383,44.7954,-160.001,6.34596885,19.09421682,21.20520132,1.00020311,2.35440774,45.0,1.76e-06,5.00000039,2.737603
-86.276,-77.9996,-89.024,93.8037,-89.6421,149.848,-85.8096,-68.0107,2.87642016,7.93065452,12.66580221,4.28602659,3.9519867,45.0,3.28912958,19.99998024,1.548144
76.057,18.2451,70.3736,18.5204,70.1083,20.9277,75.78,21.6276,3.15743452,7.92153333,13.19300669,3.32758994,4.99999997,45.0,2.40043928,19.99999627,1.941579
50.4094,-8.4861,44.8277,-9.151,44.2991,-8.1651,49.8447,-7.4175,11.73579788,14.48209199,20.766773,1.00000037,2.01533184,45.0,2.85e-06,5.00000207,1.588583
23.3741,-66.9524,17.6185,-67.0805,17.519,-66.145,23.2429,-65.9846,4.96845133,6.77384403,13.66977865,3.71219399,3.10043602,45.0,2.77559661,19.99969935,2.415167
81.3093,-77.5169,75.7954,-80.5709,75.2645,-78.0958,80.7354,-73.7961,3.24237489,9.03998181,10.12815255,1.28498341,2.43106083,45.0,18.00894581,10.8645007,1.613971
78.5721,70.7977,73.0032,69.7964,72.5199,72.1353,78.0666,74.1085,0.18,13.65,22.41,2.58,1.37,45.0,0.66,13.15,2.596661
-59.6775,-171.378,-65.2601,-170.635,-64.6723,-168.857,-59.1104,-169.855,8.78345882,13.82980592,23.32407265,1.00000016,3.06265367,45.0,5.37e-06,5.00000342,1.879689
-24.6692,-66.2513,-30.4052,-66.079,-30.1996,-65.0799,-24.4906,-65.2934,2.9440596,7.46013346,11.33731005,5.18853369,3.2633745,45.0,4.80658873,19.99999998,1.799142
-74.101,-110.913,-79.67,-109.966,-79.1686,-106.347,-73.628,-108.473,0.18,13.65,22.41,2.58,1.37,45.0,0.66,13.15,2.596661
89.3693,25.9576,84.509,3.6076,84.4163,11.676,89.6644,128.195,4.59871509,8.19809064,12.26221385,2.27169331,4.99998992,45.0,2.66930286,19.99999433,2.033615
83.9343,17.8411,78.3097,13.2545,78.2241,16.8834,83.7743,24.5002,4.16102712,10.42698466,12.62243886,1.00000369,2.32151393,45.0,15.65763636,8.81039538,2.253376
64.4351,-133.492,58.8604,-134.296,58.4415,-133.063,63.9914,-132.039,4.65664166,17.55941115,23.87611147,1.00045673,2.90737788,45.0,1e-06,5.0000001,1.887907
75.8029,30.5024,70.0788,31.7969,70.1069,34.3259,75.8425,34.0556,0.01137854,10.35911807,1.34810306,19.61856212,3.86326555,45.0,0.10965209,19.68992059,2.287222
79.0287,101.848,73.3806,101.794,73.3659,104.217,79.0068,105.448,7.0504538,18.78249424,19.71737464,1.00000106,3.44951594,45.0,0.00010205,5.00005828,2.032026
58.6812,-133.482,53.0963,-134.141,52.6979,-133.068,58.2576,-132.262,4.34768396,18.16832413,23.30418805,1.00003715,3.10139054,45.0,5.53e-06,5.07837065,2.480941
88.9527,-164.224,85.1709,-56.1912,85.3243,-48.8637,89.1505,-127.336,1.55805373,6.69211612,11.82797272,6.69391781,4.99999989,45.0,3.22796095,19.99997878,1.311929
