lat0,lon0,lat1,lon1,lat2,lon2,lat3,lon3,Fe,Ti,Ca,Si,Al,Mg,Na,O,chi2
88.457,158.013,86.5733,-69.4502,86.7658,-58.6956,88.0843,176.098,1.000000025505504,2.234337560910016e-06,5.000000063945573,27.15984580937609,13.898872688653288,2.9412877311193,4.999991447062687,45.0,1.249243
87.8676,-84.8621,87.0427,145.704,86.8321,157.375,88.1931,-68.2801,1.000000040813203,2.6567505454614858e-06,5.000025100705053,24.891399754081903,16.59911161682405,2.5998385627687064,4.909622268056543,45.0,1.401619
88.1776,-92.908,86.6366,144.135,86.4499,154.602,88.5723,-74.3346,1.000002239974341,1.925527938431056e-06,5.000000058784471,26.10451276040311,15.85248680468411,2.657744468516095,4.385251742109942,45.0,1.307927
88.4379,-103.922,86.2284,142.902,86.0608,152.37,88.9245,-84.5379,1.0000339037608832,1.243897775324478e-06,5.000000001220029,26.083388027357472,16.526495131759994,3.4209800957581407,2.9691015962456984,45.0,1.398104
89.345,-135.062,85.4087,141.095,85.2699,149.022,89.0585,-91.0576,1.000000138000398,1.0005189309216854e-06,5.000306186978004,24.20350571631909,17.80981762475792,5.192483570893869,1.7938857625318008,45.0,1.544435
88.8197,166.587,83.348,138.525,83.2511,144.125,88.3625,-173.925,2.584731427549444,1.2337600498159615,19.999998995820487,12.186923306653526,12.703067317668548,5.435309177894672,0.856209724597356,45.0,1.700474
88.457,158.013,82.935,138.191,82.8436,143.478,88.0843,176.098,2.9114146249959774,1.0474747648379232e-06,18.824340645407062,12.467747621673396,14.145076288305452,5.9838540363491095,0.6675657357942358,45.0,1.718901
88.0734,152.772,82.5217,137.891,82.4352,142.899,87.7636,168.813,1.6577212098283325,0.1537570144706016,5.204468359815566,19.522921471292165,19.99999999168577,7.632772671733197,0.8283592811743702,45.0,1.748119
87.679,149.289,82.1082,137.623,82.0261,142.38,87.4158,163.417,1.0035687571653895,1.924773889314708e-06,5.000005202590462,20.80232933902863,19.999648295479773,7.357920375223242,0.8365261057386089,45.0,1.768637
87.2784,146.823,81.6947,137.381,81.6165,141.911,87.0507,159.327,1.0002851603388363,3.839149505454344e-06,5.000005865226575,21.733366324202905,19.346059688794043,6.460809369648278,1.4594697526398546,45.0,1.912701
86.8741,144.99,81.281,137.162,81.2065,141.486,86.6738,156.149,1.2201179051767916,1.8359774098531388e-05,5.000000644179712,19.56656061749524,19.22462682147264,7.22329153660425,2.7653841152972585,45.0,1.991923
